 VARIABLES= X,Y,con
 ZONE I=          61 ,J=          19 ,T=TT
           1           2   1.0000000000000000     
           2           2  0.98333330451023737     
           3           2  0.96666660909947666     
           4           2  0.94999991384650340     
           5           2  0.93333321882967057     
           6           2  0.91666652412668403     
           7           2  0.89999982981438964     
           8           2  0.88333313596856178     
           9           2  0.86666644266369697     
          10           2  0.84999974997280847     
          11           2  0.83333305796722712     
          12           2  0.81666636671640469     
          13           2  0.79999967628772517     
          14           2  0.78333298674631846     
          15           2  0.76666629815488230     
          16           2  0.74999961057351128     
          17           2  0.73333292405953110     
          18           2  0.71666623866734191     
          19           2  0.69999955444826911     
          20           2  0.68333287145042265     
          21           2  0.66666618971856506     
          22           2  0.64999950929398920     
          23           2  0.63333283021440434     
          24           2  0.61666615251383361     
          25           2  0.59999947622252003     
          26           2  0.58333280136684396     
          27           2  0.56666612796925131     
          28           2  0.54999945604819089     
          29           2  0.53333278561806452     
          30           2  0.51666611668918772     
          31           2  0.49999944926776091     
          32           2  0.48333278335585300     
          33           2  0.46666611895139515     
          34           2  0.44999945604818681     
          35           2  0.43333279463591268     
          36           2  0.41666613470017067     
          37           2  0.39999947622251197     
          38           2  0.38333281918049089     
          39           2  0.36666616354772719     
          40           2  0.34999950929397744     
          41           2  0.33333285638521887     
          42           2  0.31666620478374191     
          43           2  0.29999955444825410     
          44           2  0.28333290533399264     
          45           2  0.26666625739284766     
          46           2  0.24999961057349390     
          47           2  0.23333296482153115     
          48           2  0.21666632007963366     
          49           2  0.19999967628770715     
          50           2  0.18333303338305357     
          51           2  0.16666639130054284     
          52           2  0.14999974997279156     
          53           2  0.13333310933034750     
          54           2  0.11666646930188011     
          55           2   9.9999829814375912E-002
          56           2   8.3333190793338674E-002
          57           2   6.6666552162993678E-002
          58           2   4.9999913846495304E-002
          59           2   3.3333275766137711E-002
          60           2   1.6666637843567800E-002
          61           2   0.0000000000000000     
           1           3   1.0000000000000000     
           2           3  0.98333330452408751     
           3           3  0.96666660912713931     
           4           3  0.94999991388790250     
           5           3  0.93333321888469245     
           6           3  0.91666652419517825     
           7           3  0.89999982989616811     
           8           3  0.88333313606340080     
           9           3  0.86666644277133620     
          10           3  0.84999975009295314     
          11           3  0.83333305809954761     
          12           3  0.81666636686053862     
          13           3  0.79999967644327752     
          14           3  0.78333298691286246     
          15           3  0.76666629833196176     
          16           3  0.74999961076064081     
          17           3  0.73333292425619789     
          18           3  0.71666623887300696     
          19           3  0.69999955466236852     
          20           3  0.68333287167236956     
          21           3  0.66666618994775118     
          22           3  0.64999950952978636     
          23           3  0.63333283045616628     
          24           3  0.61666615276089742     
          25           3  0.59999947647420870     
          26           3  0.58333280162246781     
          27           3  0.56666612822810958     
          28           3  0.54999945630957392     
          29           3  0.53333278588125599     
          30           3  0.51666611695346620     
          31           3  0.49999944953240216     
          32           3  0.48333278362013155     
          33           3  0.46666611921458662     
          34           3  0.44999945630956989     
          35           3  0.43333279489477083     
          36           3  0.41666613495579452     
          37           3  0.39999947647420075     
          38           3  0.38333281942755482     
          39           3  0.36666616378948902     
          40           3  0.34999950952977454     
          41           3  0.33333285661440493     
          42           3  0.31666620500568876     
          43           3  0.29999955466235334     
          44           3  0.28333290553965751     
          45           3  0.26666625758951445     
          46           3  0.24999961076062349     
          47           3  0.23333296499861070     
          48           3  0.21666632024617774     
          49           3  0.19999967644325936     
