VARIABLES= X,Y,u,v,pre
ZONE I=64,J=64,T=TT
1,2,0,0,1
2,2,0,0,0.984127
3,2,0,0,0.968253
4,2,0,0,0.95238
5,2,0,0,0.936506
6,2,0,0,0.920633
7,2,0,0,0.90476
8,2,0,0,0.888886
9,2,0,0,0.873013
10,2,0,0,0.857139
11,2,0,0,0.841266
12,2,0,0,0.825393
13,2,0,0,0.809519
14,2,0,0,0.793646
15,2,0,0,0.777773
16,2,0,0,0.761899
17,2,0,0,0.746026
18,2,0,0,0.730153
19,2,0,0,0.714279
20,2,0,0,0.698406
21,2,0,0,0.682533
22,2,0,0,0.66666
23,2,0,0,0.650786
24,2,0,0,0.634913
25,2,0,0,0.61904
26,2,0,0,0.603167
27,2,0,0,0.587294
28,2,0,0,0.571421
29,2,0,0,0.555548
30,2,0,0,0.539674
31,2,0,0,0.523801
32,2,0,0,0.507928
33,2,0,0,0.492055
34,2,0,0,0.476182
35,2,0,0,0.460309
36,2,0,0,0.444436
37,2,0,0,0.428564
38,2,0,0,0.412691
39,2,0,0,0.396818
40,2,0,0,0.380945
41,2,0,0,0.365072
42,2,0,0,0.349199
43,2,0,0,0.333326
44,2,0,0,0.317453
45,2,0,0,0.301581
46,2,0,0,0.285708
47,2,0,0,0.269835
48,2,0,0,0.253962
49,2,0,0,0.23809
50,2,0,0,0.222217
51,2,0,0,0.206344
52,2,0,0,0.190472
53,2,0,0,0.174599
54,2,0,0,0.158726
55,2,0,0,0.142854
56,2,0,0,0.126981
57,2,0,0,0.111108
58,2,0,0,0.0952357
59,2,0,0,0.0793631
60,2,0,0,0.0634905
61,2,0,0,0.0476178
62,2,0,0,0.0317452
63,2,0,0,0.0158726
64,2,0,0,0
1,3,0,0,1
2,3,0,0,0.984127
3,3,0,0,0.968253
4,3,0,0,0.95238
5,3,0,0,0.936506
6,3,0,0,0.920633
7,3,0,0,0.90476
8,3,0,0,0.888886
9,3,0,0,0.873013
10,3,0,0,0.857139
11,3,0,0,0.841266
12,3,0,0,0.825393
13,3,0,0,0.809519
14,3,0,0,0.793646
15,3,0,0,0.777773
16,3,0,0,0.761899
17,3,0,0,0.746026
18,3,0,0,0.730153
19,3,0,0,0.714279
20,3,0,0,0.698406
21,3,0,0,0.682533
22,3,0,0,0.66666
23,3,0,0,0.650786
24,3,0,0,0.634913
25,3,0,0,0.61904
26,3,0,0,0.603167
27,3,0,0,0.587294
28,3,0,0,0.571421
29,3,0,0,0.555548
30,3,0,0,0.539674
31,3,0,0,0.523801
32,3,0,0,0.507928
33,3,0,0,0.492055
34,3,0,0,0.476182
35,3,0,0,0.460309
36,3,0,0,0.444436
37,3,0,0,0.428564
38,3,0,0,0.412691
39,3,0,0,0.396818
40,3,0,0,0.380945
41,3,0,0,0.365072
42,3,0,0,0.349199
43,3,0,0,0.333326
44,3,0,0,0.317454
45,3,0,0,0.301581
46,3,0,0,0.285708
47,3,0,0,0.269835
48,3,0,0,0.253962
49,3,0,0,0.23809
50,3,0,0,0.222217
51,3,0,0,0.206344
52,3,0,0,0.190472
53,3,0,0,0.174599
54,3,0,0,0.158726
55,3,0,0,0.142854
56,3,0,0,0.126981
57,3,0,0,0.111108
58,3,0,0,0.0952357
59,3,0,0,0.0793631
60,3,0,0,0.0634905
61,3,0,0,0.0476178
62,3,0,0,0.0317452
63,3,0,0,0.0158726
64,3,0,0,0
1,4,0,0,1
2,4,0,0,0.984127
3,4,0,0,0.968253
4,4,0,0,0.95238
5,4,0,0,0.936506
6,4,0,0,0.920633
7,4,0,0,0.90476
8,4,0,0,0.888886
9,4,0,0,0.873013
10,4,0,0,0.857139
11,4,0,0,0.841266
12,4,0,0,0.825393
13,4,0,0,0.809519
14,4,0,0,0.793646
15,4,0,0,0.777773
16,4,0,0,0.761899
17,4,0,0,0.746026
18,4,0,0,0.730153
19,4,0,0,0.714279
20,4,0,0,0.698406
21,4,0,0,0.682533
22,4,0,0,0.66666
23,4,0,0,0.650786
24,4,0,0,0.634913
25,4,0,0,0.61904
26,4,0,0,0.603167
27,4,0,0,0.587294
28,4,0,0,0.571421
29,4,0,0,0.555548
30,4,0,0,0.539674
31,4,0,0,0.523801
32,4,0,0,0.507928
33,4,0,0,0.492055
34,4,0,0,0.476182
35,4,0,0,0.460309
36,4,0,0,0.444436
37,4,0,0,0.428564
38,4,0,0,0.412691
39,4,0,0,0.396818
40,4,0,0,0.380945
41,4,0,0,0.365072
42,4,0,0,0.349199
43,4,0,0,0.333326
44,4,0,0,0.317454
45,4,0,0,0.301581
46,4,0,0,0.285708
47,4,0,0,0.269835
48,4,0,0,0.253962
49,4,0,0,0.23809
50,4,0,0,0.222217
51,4,0,0,0.206344
52,4,0,0,0.190472
53,4,0,0,0.174599
54,4,0,0,0.158726
55,4,0,0,0.142854
56,4,0,0,0.126981
57,4,0,0,0.111108
58,4,0,0,0.0952357
59,4,0,0,0.0793631
60,4,0,0,0.0634905
61,4,0,0,0.0476178
62,4,0,0,0.0317452
63,4,0,0,0.0158726
64,4,0,0,0
1,5,0,0,1
2,5,0,0,0.984127
3,5,0,0,0.968253
4,5,0,0,0.95238
5,5,0,0,0.936506
6,5,0,0,0.920633
7,5,0,0,0.90476
8,5,0,0,0.888886
9,5,0,0,0.873013
10,5,0,0,0.857139
11,5,0,0,0.841266
12,5,0,0,0.825393
13,5,0,0,0.809519
14,5,0,0,0.793646
15,5,0,0,0.777773
16,5,0,0,0.761899
17,5,0,0,0.746026
18,5,0,0,0.730153
19,5,0,0,0.714279
20,5,0,0,0.698406
21,5,0,0,0.682533
22,5,0,0,0.66666
23,5,0,0,0.650786
24,5,0,0,0.634913
25,5,0,0,0.61904
26,5,0,0,0.603167
27,5,0,0,0.587294
28,5,0,0,0.571421
29,5,0,0,0.555548
30,5,0,0,0.539674
31,5,0,0,0.523801
32,5,0,0,0.507928
33,5,0,0,0.492055
34,5,0,0,0.476182
35,5,0,0,0.460309
36,5,0,0,0.444436
37,5,0,0,0.428564
38,5,0,0,0.412691
39,5,0,0,0.396818
40,5,0,0,0.380945
41,5,0,0,0.365072
42,5,0,0,0.349199
43,5,0,0,0.333326
44,5,0,0,0.317454
45,5,0,0,0.301581
46,5,0,0,0.285708
47,5,0,0,0.269835
48,5,0,0,0.253962
49,5,0,0,0.23809
50,5,0,0,0.222217
51,5,0,0,0.206344
52,5,0,0,0.190472
53,5,0,0,0.174599
54,5,0,0,0.158726
55,5,0,0,0.142854
56,5,0,0,0.126981
57,5,0,0,0.111108
58,5,0,0,0.0952357
59,5,0,0,0.0793631
60,5,0,0,0.0634905
61,5,0,0,0.0476178
62,5,0,0,0.0317452
63,5,0,0,0.0158726
64,5,0,0,0
1,6,0,0,1
2,6,0,0,0.984127
3,6,0,0,0.968253
4,6,0,0,0.95238
5,6,0,0,0.936506
6,6,0,0,0.920633
7,6,0,0,0.90476
8,6,0,0,0.888886
9,6,0,0,0.873013
10,6,0,0,0.857139
11,6,0,0,0.841266
12,6,0,0,0.825393
13,6,0,0,0.809519
14,6,0,0,0.793646
15,6,0,0,0.777773
16,6,0,0,0.761899
17,6,0,0,0.746026
18,6,0,0,0.730153
19,6,0,0,0.714279
20,6,0,0,0.698406
21,6,0,0,0.682533
22,6,0,0,0.66666
23,6,0,0,0.650786
24,6,0,0,0.634913
25,6,0,0,0.61904
26,6,0,0,0.603167
27,6,0,0,0.587294
28,6,0,0,0.571421
29,6,0,0,0.555548
30,6,0,0,0.539675
31,6,0,0,0.523801
32,6,0,0,0.507928
33,6,0,0,0.492055
34,6,0,0,0.476182
35,6,0,0,0.460309
36,6,0,0,0.444436
37,6,0,0,0.428564
38,6,0,0,0.412691
39,6,0,0,0.396818
40,6,0,0,0.380945
41,6,0,0,0.365072
42,6,0,0,0.349199
43,6,0,0,0.333326
44,6,0,0,0.317454
45,6,0,0,0.301581
46,6,0,0,0.285708
47,6,0,0,0.269835
48,6,0,0,0.253962
49,6,0,0,0.23809
50,6,0,0,0.222217
51,6,0,0,0.206344
52,6,0,0,0.190472
53,6,0,0,0.174599
54,6,0,0,0.158726
55,6,0,0,0.142854
56,6,0,0,0.126981
57,6,0,0,0.111108
58,6,0,0,0.0952357
59,6,0,0,0.0793631
60,6,0,0,0.0634905
61,6,0,0,0.0476178
62,6,0,0,0.0317452
63,6,0,0,0.0158726
64,6,0,0,0
1,7,0,0,1
2,7,0,0,0.984127
3,7,0,0,0.968253
4,7,0,0,0.95238
5,7,0,0,0.936506
6,7,0,0,0.920633
7,7,0,0,0.90476
8,7,0,0,0.888886
9,7,0,0,0.873013
10,7,0,0,0.857139
11,7,0,0,0.841266
12,7,0,0,0.825393
13,7,0,0,0.809519
14,7,0,0,0.793646
15,7,0,0,0.777773
16,7,0,0,0.761899
17,7,0,0,0.746026
18,7,0,0,0.730153
19,7,0,0,0.714279
20,7,0,0,0.698406
21,7,0,0,0.682533
22,7,0,0,0.66666
23,7,0,0,0.650786
24,7,0,0,0.634913
25,7,0,0,0.61904
26,7,0,0,0.603167
27,7,0,0,0.587294
28,7,0,0,0.571421
29,7,0,0,0.555548
30,7,0,0,0.539675
31,7,0,0,0.523801
32,7,0,0,0.507928
33,7,0,0,0.492055
34,7,0,0,0.476182
35,7,0,0,0.460309
36,7,0,0,0.444436
37,7,0,0,0.428564
38,7,0,0,0.412691
39,7,0,0,0.396818
40,7,0,0,0.380945
41,7,0,0,0.365072
42,7,0,0,0.349199
43,7,0,0,0.333326
44,7,0,0,0.317454
45,7,0,0,0.301581
46,7,0,0,0.285708
47,7,0,0,0.269835
48,7,0,0,0.253962
49,7,0,0,0.23809
50,7,0,0,0.222217
51,7,0,0,0.206344
52,7,0,0,0.190472
53,7,0,0,0.174599
54,7,0,0,0.158726
55,7,0,0,0.142854
56,7,0,0,0.126981
57,7,0,0,0.111108
58,7,0,0,0.0952357
59,7,0,0,0.0793631
60,7,0,0,0.0634905
61,7,0,0,0.0476178
62,7,0,0,0.0317452
63,7,0,0,0.0158726
64,7,0,0,0
1,8,0,0,1
2,8,0,0,0.984127
3,8,0,0,0.968253
4,8,0,0,0.95238
5,8,0,0,0.936506
6,8,0,0,0.920633
7,8,0,0,0.90476
8,8,0,0,0.888886
9,8,0,0,0.873013
10,8,0,0,0.857139
11,8,0,0,0.841266
12,8,0,0,0.825393
13,8,0,0,0.809519
14,8,0,0,0.793646
15,8,0,0,0.777773
16,8,0,0,0.761899
17,8,0,0,0.746026
18,8,0,0,0.730153
19,8,0,0,0.714279
20,8,0,0,0.698406
21,8,0,0,0.682533
22,8,0,0,0.66666
23,8,0,0,0.650786
24,8,0,0,0.634913
25,8,0,0,0.61904
26,8,0,0,0.603167
27,8,0,0,0.587294
28,8,0,0,0.571421
29,8,0,0,0.555548
30,8,0,0,0.539675
31,8,0,0,0.523801
32,8,0,0,0.507928
33,8,0,0,0.492055
34,8,0,0,0.476182
35,8,0,0,0.460309
36,8,0,0,0.444436
37,8,0,0,0.428564
38,8,0,0,0.412691
39,8,0,0,0.396818
40,8,0,0,0.380945
41,8,0,0,0.365072
42,8,0,0,0.349199
43,8,0,0,0.333326
44,8,0,0,0.317454
45,8,0,0,0.301581
46,8,0,0,0.285708
47,8,0,0,0.269835
48,8,0,0,0.253962
49,8,0,0,0.23809
50,8,0,0,0.222217
