VARIABLES= X,Y,u,v,pre
ZONE I=21,J=81,T=TT
1,1,0,0,1.0002
2,1,0,0,0
3,1,0,0,0
4,1,0,0,0
5,1,0,0,0
6,1,0,0,0
7,1,0,0,0
8,1,0,0,0
9,1,0,0,0
10,1,0,0,0
11,1,0,0,0
12,1,0,0,0
13,1,0,0,0
14,1,0,0,0
15,1,0,0,0
16,1,0,0,0
17,1,0,0,0
18,1,0,0,0
19,1,0,0,0
20,1,0,0,0
21,1,0,0,1
1,2,0.00118,1.94289e-16,1.0002
2,2,0.00118,2.91434e-16,1.00019
3,2,0.00118,1.38778e-17,1.00018
4,2,0.00118,-3.19189e-16,1.00017
5,2,0.00118,-2.77556e-17,1.00016
6,2,0.00118,-1.52656e-16,1.00015
7,2,0.00118,-4.16334e-17,1.00014
8,2,0.00118,-1.249e-16,1.00013
9,2,0.00118,-3.05311e-16,1.00012
10,2,0.00118,-1.94289e-16,1.00011
11,2,0.00118,1.52656e-16,1.0001
12,2,0.00118,-1.52656e-16,1.00009
13,2,0.00118,5.55112e-17,1.00008
14,2,0.00118,-2.08167e-16,1.00007
15,2,0.00118,-2.08167e-16,1.00006
16,2,0.00118,-8.32667e-17,1.00005
17,2,0.00118,1.66533e-16,1.00004
18,2,0.00118,8.32667e-17,1.00003
19,2,0.00118,6.93889e-17,1.00002
20,2,0.00118,1.38778e-17,1.00001
21,2,0.00118,0,1
1,3,0.00349,5.13478e-16,1.0002
2,3,0.00349,4.996e-16,1.00019
3,3,0.00349,3.05311e-16,1.00018
4,3,0.00349,4.16334e-17,1.00017
5,3,0.00349,-1.38778e-16,1.00016
6,3,0.00349,-8.32667e-17,1.00015
7,3,0.00349,-1.11022e-16,1.00014
8,3,0.00349,-1.38778e-17,1.00013
9,3,0.00349,-6.93889e-17,1.00012
10,3,0.00349,-5.55112e-17,1.00011
11,3,0.00349,-2.08167e-16,1.0001
12,3,0.00349,-8.32667e-17,1.00009
13,3,0.00349,-1.249e-16,1.00008
14,3,0.00349,-1.80411e-16,1.00007
15,3,0.00349,-3.46945e-16,1.00006
16,3,0.00349,-1.66533e-16,1.00005
17,3,0.00349,-9.71445e-17,1.00004
18,3,0.00349,6.93889e-17,1.00003
19,3,0.00349,-4.16334e-17,1.00002
20,3,0.00349,-8.32667e-17,1.00001
21,3,0.00349,-1.38778e-17,1
1,4,0.00574,8.74301e-16,1.0002
2,4,0.00574,5.27356e-16,1.00019
3,4,0.00574,3.747e-16,1.00018
4,4,0.00574,3.05311e-16,1.00017
5,4,0.00574,3.05311e-16,1.00016
6,4,0.00574,4.57967e-16,1.00015
7,4,0.00574,4.85723e-16,1.00014
8,4,0.00574,4.02456e-16,1.00013
9,4,0.00574,4.996e-16,1.00012
10,4,0.00574,4.57967e-16,1.00011
11,4,0.00574,3.747e-16,1.0001
12,4,0.00574,3.05311e-16,1.00009
13,4,0.00574,2.77556e-17,1.00008
14,4,0.00574,6.93889e-17,1.00007
15,4,0.00574,2.77556e-17,1.00006
16,4,0.00574,-8.32667e-17,1.00005
17,4,0.00574,0,1.00004
18,4,0.00574,-1.38778e-17,1.00003
19,4,0.00574,1.38778e-17,1.00002
20,4,0.00574,8.32667e-17,1.00001
21,4,0.00574,2.08167e-16,1
1,5,0.00793,1.33227e-15,1.0002
2,5,0.00793,1.1241e-15,1.00019
3,5,0.00793,1.01308e-15,1.00018
4,5,0.00793,1.09635e-15,1.00017
5,5,0.00793,1.02696e-15,1.00016
6,5,0.00793,9.99201e-16,1.00015
7,5,0.00793,1.06859e-15,1.00014
8,5,0.00793,1.01308e-15,1.00013
9,5,0.00793,9.29812e-16,1.00012
10,5,0.00793,8.60423e-16,1.00011
11,5,0.00793,8.18789e-16,1.0001
12,5,0.00793,6.93889e-16,1.00009
13,5,0.00793,5.68989e-16,1.00008
14,5,0.00793,5.13478e-16,1.00007
15,5,0.00793,3.747e-16,1.00006
16,5,0.00793,2.498e-16,1.00005
17,5,0.00793,2.22045e-16,1.00004
18,5,0.00793,6.93889e-17,1.00003
19,5,0.00793,2.22045e-16,1.00002
20,5,0.00793,2.35922e-16,1.00001
21,5,0.00793,2.498e-16,1
1,6,0.01006,1.94289e-15,1.0002
2,6,0.01006,2.04003e-15,1.00019
3,6,0.01006,2.05391e-15,1.00018
4,6,0.01006,1.95677e-15,1.00017
5,6,0.01006,1.8735e-15,1.00016
6,6,0.01006,1.83187e-15,1.00015
7,6,0.01006,1.77636e-15,1.00014
8,6,0.01006,1.73472e-15,1.00013
9,6,0.01006,1.63758e-15,1.00012
10,6,0.01006,1.58207e-15,1.00011
11,6,0.01006,1.36002e-15,1.0001
12,6,0.01006,1.31839e-15,1.00009
13,6,0.01006,1.34615e-15,1.00008
14,6,0.01006,1.11022e-15,1.00007
15,6,0.01006,1.1241e-15,1.00006
16,6,0.01006,9.99201e-16,1.00005
17,6,0.01006,8.46545e-16,1.00004
18,6,0.01006,7.63278e-16,1.00003
19,6,0.01006,6.245e-16,1.00002
